ind,date,tbstat,tbstat.yng,tbstat.ad,sex,age.known,age,season,year,socg,weight,toothwear,condition,body.length,temp,dam,young,age.sq,age.cb,unique ,body.length.est,smi
043Y,06/05/2008,1,1,NA,1,1,1,Spring,2008,JACKS_MIREY,8.9,0.25,GOOD,87.5,38.2,NA,1,1,1,043Y39574,87.5,5.858096852
043Y,23/07/2008,1,1,NA,1,1,1,Summer,2008,JACKS_MIREY,8.9,0,GOOD,87,39.2,NA,1,1,1,043Y39652,87,5.99622037
043Y,12/05/2010,1,NA,1,1,3,3,Spring,2010,JACKS_MIREY,10,0.25,VGOOD,89.5,38.2,NA,2,9,27,043Y40310,89.5,6.004164882
043Y,27/08/2010,NA,NA,NA,1,3,3,Summer,2010,NA,12,NA,GOOD,NA,NA,NA,2,9,27,043Y40417,89.5,#VALUE!
044A,09/09/2014,0,0,NA,1,0,0,Autumn,2014,NETTLE,8.1,NA,GOOD,80,39.8,NA,1,0,0,044A41891,80,7.675683372
044A,04/11/2014,0,0,NA,1,0,0,Autumn,2014,NETTLE,9.3,0,GOOD,80,37.7,NA,1,0,0,044A41947,80,8.812821649
044B,18/07/2006,0,0,NA,2,0,0,Summer,2006,HEDGE,4.1,0,GOOD,75,37.9,NA,1,0,0,044B38916,75,5.051244861
044B,24/10/2006,1,1,NA,2,0,0,Autumn,2006,HEDGE,9,0,GOOD,84.5,38.9,NA,1,0,0,044B39014,84.5,6.826907306
044E,14/08/2013,0,NA,NA,1,NA,4.066,Summer,2013,BREAKHEART,6.7,0.75,FAIR,82,36.7,NA,NA,16.532,67.221,044E41500,82,5.742444551
044E,20/05/2014,0,NA,NA,1,NA,4.066,Spring,2014,SEPTIC_TANK,6.7,0.5,POOR,83,37.4,NA,NA,16.532,67.221,044E41779,83,5.466244814
044G,05/08/2003,0,0,NA,1,0,0,Summer,2003,ARTHURS,4.3,NA,GOOD,70,38.5,NA,1,0,0,044G37838,70,7.013462084
044G,28/10/2003,0,0,NA,1,0,0,Autumn,2003,ARTHURS,9.6,NA,VERY_GOOD,83,37.8,NA,1,0,0,044G37922,83,7.832231375
044G,14/09/2005,1,NA,1,1,2,2,Autumn,2005,ARTHURS,10.6,NA,VERY_GOOD,87.5,38.2,NA,2,4,8,044G38609,87.5,6.977059172
044G,09/05/2006,0,NA,0,1,3,3,Spring,2006,ARTHURS,10.6,0.25,GOOD,87,38.5,NA,2,9,27,044G38846,87,7.141565834
044G,03/06/2009,1,NA,1,1,6,6,Summer,2009,ARTHURS,8.4,0.75,FAIR,86.5,37.8,NA,2,36,216,044G39967,86.5,5.793569719
044K,17/07/2012,2,2,NA,1,0,0,Summer,2012,WEST,4.3,0,GOOD,70,39.3,NA,1,0,0,044K41107,70,7.013462084
044N,14/10/2009,0,0,NA,1,0,0,Autumn,2009,TRACKSIDE,6,0.25,GOOD,77,38.8,062W,1,0,0,044N40100,77,6.641809099
044N,27/01/2010,1,1,NA,1,1,1,Winter,2010,TRACKSIDE,7.3,0.25,GOOD,79,38.7,062W,1,1,1,044N40205,79,7.280655544
044P,23/07/2008,0,0,NA,2,0,0,Summer,2008,BEECH,2.8,0,FAIR,59,38.1,NA,1,0,0,044P39652,59,9.152787475
044P,21/10/2008,0,0,NA,2,0,0,Autumn,2008,BEECH,5.4,0,FAIR,74.5,38.3,NA,1,0,0,044P39742,74.5,6.836311692
044P,09/12/2008,0,0,NA,2,0,0,Winter,2008,BEECH,6.7,0.25,FAIR,76,36.8,NA,1,0,0,044P39791,76,7.8216208
044P,02/06/2009,0,0,NA,2,1,1,Summer,2009,BEECH,6.6,0.25,FAIR,83,38.3,NA,1,1,1,044P39966,83,5.38465907
044P,21/07/2009,0,0,NA,2,1,1,Summer,2009,BEECH,6.9,0.25,FAIR,81,38,NA,1,1,1,044P40015,81,6.216436598
044P,04/11/2009,0,0,NA,2,1,1,Autumn,2009,BEECH,10.4,0.25,GOOD,83.5,38.5,NA,1,1,1,044P40121,83.5,8.280189537
044P,15/12/2009,0,0,NA,2,1,1,Winter,2009,BEECH,10.9,0.25,VGOOD,84,38.8,NA,1,1,1,044P40162,84,8.470117356
044P,12/05/2010,0,NA,0,2,2,2,Spring,2010,BEECH,8.3,0.25,FAIR,84,38,NA,2,4,8,044P40310,84,6.44972239
044P,07/09/2010,0,NA,0,2,2,2,Autumn,2010,BEECH,9,0.25,GOOD,84,38,NA,2,4,8,044P40428,84,6.993674881
044P,03/05/2011,0,NA,0,2,3,3,Spring,2011,BEECH,8.1,0.5,FAIR,85,37.9,NA,2,9,27,044P40666,85,5.998558801
044P,06/07/2011,0,NA,0,2,3,3,Summer,2011,BEECH,8.4,0.5,FAIR,84,38.5,NA,2,9,27,044P40730,84,6.527429889
044R,09/06/2004,0,0,NA,1,0,0,Summer,2004,TOP_SETT,3.6,NA,GOOD,66.5,38.2,U069,1,0,0,044R38147,66.5,7.233632159
044R,22/09/2004,0,0,NA,1,0,0,Autumn,2004,YEW,6.4,NA,GOOD,79,38.5,U069,1,0,0,044R38252,79,6.383040477
044R,19/01/2005,0,0,NA,1,1,1,Winter,2005,TOP_SETT,7.8,NA,GOOD,82,37.9,U069,1,1,1,044R38371,82,6.685233955
044R,02/08/2005,0,0,NA,1,1,1,Summer,2005,YEW,6.5,NA,GOOD,82,37.9,U069,1,1,1,044R38566,82,5.571028296
